da-DK, da_DK, Danish (Denmark)
en-IE, en_IE, English (Ireland)
en-ZA, en_ZA, English (South Africa)
ar-SA, ar_SA, Arabic (Saudi Arabia)
cs-CZ, cs_CZ, Czech (Czech Republic)
ja-JP, ja_JP, Japanese (Japan)
cmn-Hans-CN, zh_CN, Mandarin (Simplified, China)
cmn-Hant-TW, zh_TW, Mandarin (Traditional, Taiwan)
yue-Hant-HK, zh_HK, Cantonese (Traditional, Hong Kong)
nl-NL, nl_NL, Dutch (Netherlands)
fi-FI, fi_FI, Finnish (Finland)
fr-CA, fr_CA, French (Canada)
fr-FR, fr_FR, French (France)
de-DE, de_DE, German (Germany)
el-GR, el_GR, Greek (Greece)
he-IL, he_IL, Hebrew (Israel)
hi-IN, hi_IN, Hindi (India)
hu-HU, hu_HU, Hungarian (Hungary)
id-ID, id_ID, Indonesian (Indonesia)
en-US, en_US, English (United States)
en-AU, en_AU, English (Australia)
en-GB, en_GB, English (United Kingdom)
en-IN, en_IN, English (India)
it-IT, it_IT, Italian (Italy)
ko-KR, ko_KR, Korean (South Korea)
nb-NO, nb_NO, Norwegian Bokmål (Norway)
pl-PL, pl_PL, Polish (Poland)
pt-BR, pt_BR, Portuguese (Brazil)
pt-PT, pt_PT, Portuguese (Portugal)
ro-RO, ro_RO, Romanian (Romania)
ru-RU, ru_RU, Russian (Russia)
sk-SK, sk_SK, Slovak (Slovakia)
es-AR, es_AR, Spanish (Argentina)
es-MX, es_MX, Spanish (Mexico)
es-ES, es_ES, Spanish (Spain)
sv-SE, sv_SE, Swedish (Sweden)
th-TH, th_TH, Thai (Thailand)
tr-TR, tr_TR, Turkish (Turkey)
